CODSGPM;COD_ID;COD_PUERTO;PUERTO;LOCODE;FECHA_MUE;COD_BARCO;BARCO;ESTRATO_RIM;COD_TIPO_MUE;TIPO_MUE;ESTADO;TIPO_ERROR
;201803558;0105;Tarifa;ESTRF;31-12-18;205509;DESCONOCIDO VORAZ LONJA;VORACERA_GC;2;MT2A (Biometrico puerto);;ERROR: barco no incluido en el CFPO
;201803551;0105;Tarifa;ESTRF;31-05-18;205509;DESCONOCIDO VORAZ LONJA;VORACERA_GC;2;MT2A (Biometrico puerto);;ERROR: barco no incluido en el CFPO
;201803557;0105;Tarifa;ESTRF;30-11-18;205509;DESCONOCIDO VORAZ LONJA;VORACERA_GC;2;MT2A (Biometrico puerto);;ERROR: barco no incluido en el CFPO
;201803555;0105;Tarifa;ESTRF;30-09-18;205509;DESCONOCIDO VORAZ LONJA;VORACERA_GC;2;MT2A (Biometrico puerto);;ERROR: barco no incluido en el CFPO
;201803554;0105;Tarifa;ESTRF;31-08-18;205509;DESCONOCIDO VORAZ LONJA;VORACERA_GC;2;MT2A (Biometrico puerto);;ERROR: barco no incluido en el CFPO
;201800242;0917;Santa Eugenia de Ribeira;ESSNI;13-02-18;800356;MAR DE VIANA;JURELERA_CN;2;MT2A (Biometrico puerto);;ERROR: barco no incluido en el CFPO
;201803553;0105;Tarifa;ESTRF;31-07-18;205509;DESCONOCIDO VORAZ LONJA;VORACERA_GC;2;MT2A (Biometrico puerto);;ERROR: barco no incluido en el CFPO
;201803556;0105;Tarifa;ESTRF;31-10-18;205509;DESCONOCIDO VORAZ LONJA;VORACERA_GC;2;MT2A (Biometrico puerto);;ERROR: barco no incluido en el CFPO
;201800579;0907;A Coruña;ESLCG;27-03-18;200163;MARUXIA;CERCO_CN;1;MT1A (Encuestas IEO);;ERROR: barco no incluido en el CFPO
;201803549;0105;Tarifa;ESTRF;31-01-18;205509;DESCONOCIDO VORAZ LONJA;VORACERA_GC;2;MT2A (Biometrico puerto);;ERROR: barco no incluido en el CFPO
;201803550;0105;Tarifa;ESTRF;30-04-18;205509;DESCONOCIDO VORAZ LONJA;VORACERA_GC;2;MT2A (Biometrico puerto);;ERROR: barco no incluido en el CFPO
;201801820;0907;A Coruña;ESLCG;24-07-18;200163;MARUXIA;CERCO_CN;1;MT1A (Encuestas IEO);;ERROR: barco no incluido en el CFPO
;201803552;0105;Tarifa;ESTRF;30-06-18;205509;DESCONOCIDO VORAZ LONJA;VORACERA_GC;2;MT2A (Biometrico puerto);;ERROR: barco no incluido en el CFPO
;201800108;0917;Santa Eugenia de Ribeira;ESSNI;26-01-18;800356;MAR DE VIANA;JURELERA_CN;2;MT2A (Biometrico puerto);;ERROR: barco no incluido en el CFPO
11350;201802982;0907;A Coruña;ESLCG;17-11-18;009249;FARELO;NASAPULP_CN;1;MT1A (Encuestas IEO);;ERROR: barco no incluido en el CFPO
1282;201802137;0907;A Coruña;ESLCG;31-08-18;001063;SISARGAS;NASAPULP_CN;1;MT1A (Encuestas IEO);;ERROR: barco no incluido en el CFPO
51974;201802443;0907;A Coruña;ESLCG;14-09-18;019126;XA;PALANGRE_CN;1;MT1A (Encuestas IEO);;ERROR: barco no incluido en el CFPO
57696;201802067;0907;A Coruña;ESLCG;04-08-18;024750;ANA ISABEL;JURELERA_CN;2;MT2A (Biometrico puerto);;ERROR: barco no incluido en el CFPO
906;201802950;0114;Punta Umbría;ESZJY;23-08-18;000753;RIO JORDAN;CERCO_GC;6;;;ERROR: barco no incluido en el CFPO
9405;201800481;0907;A Coruña;ESLCG;27-03-18;007670;NUEVO ROSA MARI;CERCO_CN;1;MT1A (Encuestas IEO);;ERROR: barco no incluido en el CFPO
